"fec_info","codigo_tipo_persona","segmento","categoria","saldo_medio_total","saldo_medio_vista","saldo_medio_plazo","num_clientes"
202306,F,WEALTH MANAGEMENT,C,6051599066.162992,1059919188.5818315,4991679852.719749,2316
202402,F,EMPRESAS,Inactivos,1840650542.398395,752224755.6806217,1088425774.3769531,465
202401,F,PARTICULARES,C,120044920809.58412,64649736414.59637,55395184399.89048,2562935
202302,F,PYMES,Inactivos,12306437772.583042,10982527035.035486,1323910736.0815516,78783
202307,F,WEALTH MANAGEMENT,C,5178561497.46751,838652415.0605856,4339909067.35791,2366
202403,F,EMPRESAS,Inactivos,2237682347.2300634,774232196.0156469,1463450132.4895477,473
202402,F,PARTICULARES,C,115986012881.6253,61020967579.61576,54965045326.25849,2497517
202303,F,PYMES,Inactivos,12366328959.840166,11019828805.833279,1346500155.0327463,79895
202308,F,WEALTH MANAGEMENT,C,5097273556.021152,978294914.6583283,4118978665.5747795,2415
202404,F,EMPRESAS,Inactivos,1968533749.6147385,789630288.7050705,1178903454.6640625,471
202403,F,PARTICULARES,C,115953125907.3907,61565099167.930626,54388026715.242035,2401688
202304,F,PYMES,Inactivos,12508057679.210808,11099629422.468298,1408428259.3165026,80438
202309,F,WEALTH MANAGEMENT,C,4970362900.654024,1023898944.3676355,3946463970.9813766,2380
202404,F,PARTICULARES,C,111711469322.1771,57947806860.37541,53763662427.13621,2345276
202305,F,PYMES,Inactivos,12695997028.465178,11271039253.942326,1424957772.3365855,81644
202310,F,WEALTH MANAGEMENT,C,5125566146.9094095,993931844.9969279,4131634301.4193916,2339
202306,F,PYMES,Inactivos,12651015707.944134,11246798670.956356,1404217039.1126413,82167
202311,F,WEALTH MANAGEMENT,C,4387807011.578532,992693412.5100416,3395113619.6001415,2353
202307,F,PYMES,Inactivos,12835634768.38982,11393412778.225094,1442221994.61195,83351
202312,F,WEALTH MANAGEMENT,C,4033138058.9814854,1040259060.2686191,2992878979.5351143,2488
202308,F,PYMES,Inactivos,13214634702.869421,11769402785.377089,1445231922.94215,84088
202309,F,PYMES,Inactivos,13090179721.395102,11581918709.504778,1508261013.5224752,85036
202301,F,PARTICULARES,B,71763658297.82976,50508098666.1775,21255559610.74465,1962886
202310,F,PYMES,Inactivos,13428113440.38581,11794595707.373175,1633517732.6667194,86507
202302,F,PARTICULARES,B,68997941007.1894,47657135301.3888,21340805711.583378,1998242
202311,F,PYMES,Inactivos,13695353519.230461,12111875266.998,1583478254.8859491,87240
202303,F,PARTICULARES,B,72812710884.72057,50440034283.79906,22372676582.2443,2079785
202312,F,PYMES,Inactivos,14346993629.558899,12752745764.856342,1594247863.3235626,87755
202304,F,PARTICULARES,B,74077878693.72359,51637357347.46961,22440521322.128666,2126969
202305,F,PARTICULARES,B,73263193241.33864,50668776957.1423,22594416296.258392,2015029
202306,F,PARTICULARES,B,76327724710.23581,52172398097.29161,24155326597.499348,1985409
202307,F,PARTICULARES,B,77188775403.72514,52457879212.28073,24730896183.107513,2077957
202308,F,PARTICULARES,B,77912773782.25021,51532370180.40208,26380403602.91995,2059725
202309,F,PARTICULARES,B,79927177890.70778,52197266755.96513,27729911144.583256,2089183
202310,F,PARTICULARES,B,82363299450.89513,52652601621.786514,29710697805.507523,2105819
202311,F,PARTICULARES,B,82654566292.12646,52812869499.66957,29841696780.56276,2160286
202312,F,PARTICULARES,B,80036205689.19223,52364705671.55988,27671499976.516224,2037705
202301,F,WEALTH MANAGEMENT,D,8944285267.39768,1070161786.6522658,7874123457.68642,2553
202302,F,WEALTH MANAGEMENT,D,9245475363.411282,1073736434.3741714,8171738895.799629,2659
202303,F,WEALTH MANAGEMENT,D,10491971124.006052,1249466676.8912473,9242504346.17503,2697
202304,F,WEALTH MANAGEMENT,D,8356213030.981336,1118925319.2980328,7237287743.827486,2510
202305,F,WEALTH MANAGEMENT,D,7072718418.045269,1036306833.1431978,6036411589.299696,2514
202306,F,WEALTH MANAGEMENT,D,6605407470.956417,1030887264.5094326,5574520196.793587,2414
202401,F,PARTICULARES,D,134576311932.44136,67558019379.4926,67018292563.16714,2231109
202307,F,WEALTH MANAGEMENT,D,5616009443.021854,931309492.5370752,4684699966.817894,2370
202402,F,PARTICULARES,D,135065489632.7112,65196072507.349205,69869417098.94843,2160196
202401,F,WEALTH MANAGEMENT,A,3930593477.5899124,800194998.3724284,3130398479.680153,2424
202308,F,WEALTH MANAGEMENT,D,5508863620.959239,966872838.9096591,4541990778.447052,2281
202403,F,PARTICULARES,D,137678694727.95813,65637398284.52143,72041296469.36949,2122565
202402,F,WEALTH MANAGEMENT,A,3287587677.5763593,787246703.5363503,2500340971.2759056,2057
202309,F,WEALTH MANAGEMENT,D,4419160865.159044,934702857.1835227,3484457998.93664,2305
202401,F,WEALTH MANAGEMENT,Inactivos,66173011.82562529,6278344.772062654,59894667.05355835,451
202404,F,PARTICULARES,D,132909557664.11232,60701972827.06184,72207584910.52168,1997223
202301,F,RESTO,Inactivos,28650197.70919177,19217761.88887927,9432435.83984375,253
202403,F,WEALTH MANAGEMENT,A,3680247261.312673,992869963.8052729,2687377329.9868736,2151
202310,F,WEALTH MANAGEMENT,D,3980293336.2523017,1015981218.2232337,2964312092.1284027,2275
202402,F,WEALTH MANAGEMENT,Inactivos,65222941.561753474,4748526.545460427,60474415.01625061,419
202401,F,GLOBAL TRANSACTION BANKING,Inactivos,435014.2905497551,435014.2905497551,0.0,12
202302,F,RESTO,Inactivos,29846481.586408846,20364271.028303377,9482210.4140625,247
202404,F,WEALTH MANAGEMENT,A,2752367589.795418,851094864.4870375,1901272726.4572983,2129
202311,F,WEALTH MANAGEMENT,D,3525810629.5900626,935176610.0328374,2590634025.857628,2237
202403,F,WEALTH MANAGEMENT,Inactivos,15772994.153080985,915007.7798243016,14857986.373104095,280
202402,F,GLOBAL TRANSACTION BANKING,Inactivos,385350.45301008224,385350.45301008224,0.0,12
202303,F,RESTO,Inactivos,31854646.316899724,21208717.93286652,10645928.3203125,250
202312,F,WEALTH MANAGEMENT,D,3754791300.484192,1226725990.1964955,2528065301.171875,2366
202404,F,WEALTH MANAGEMENT,Inactivos,18761472.314310163,4895749.041452497,13865723.272827148,302
202403,F,GLOBAL TRANSACTION BANKING,Inactivos,317831.11119794846,317831.11119794846,0.0,11
202304,F,RESTO,Inactivos,28766380.737499535,19029942.9428218,9736437.854980469,254
